AE:19:8E:2D:40:42,-88,"Berlin's PC"
00:FC:BA:32:91:40,-86,"PSG"
78:72:5D:F5:5F:10,-80,"AMCS"

A2:8C:7B:43:54:93,-42,"Genjutsu"
16:13:33:9F:0A:35,-35,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-61,"vivo Y75 5G"
42:3B:A0:88:33:21,-54,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-77,"Redmi Note 10S"
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)

A2:8C:7B:43:54:93,-53,"Genjutsu"
16:13:33:9F:0A:35,-37,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-59,"vivo Y75 5G"
42:3B:A0:88:33:21,-48,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-80,"Redmi Note 10S"
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)

A2:8C:7B:43:54:93,-53,"Genjutsu"
16:13:33:9F:0A:35,-19,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-68,"vivo Y75 5G"
42:3B:A0:88:33:21,-56,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-82,"Redmi Note 10S"
00:FC:BA:32:99:40,-62,"PSG"
3A:8A:80:CD:BE:AA,-58,"vedha's  A23"
A6:02:B9:30:81:D5,-80,"Prai"
78:72:5D:DE:99:20,-87,"AMCS"
8A:8F:BA:39:CF:C2,-70,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-88,"Berlin's PC"
00:FC:BA:32:91:40,-86,"PSG"
78:72:5D:F5:5F:10,-87,"AMCS"

A2:8C:7B:43:54:93,-51,"Genjutsu"
16:13:33:9F:0A:35,-35,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-74,"vivo Y75 5G"
42:3B:A0:88:33:21,-50,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-78,"Redmi Note 10S"
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)

A2:8C:7B:43:54:93,-58,"Genjutsu"
16:13:33:9F:0A:35,-29,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-66,"vivo Y75 5G"
42:3B:A0:88:33:21,-53,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-78,"Redmi Note 10S"
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.437 GHz (Channel 6)
,-,Frequency:2.412 GHz (Channel 1)
,-,Frequency:2.437 GHz (Channel 6)

A2:8C:7B:43:54:93,-48,"Genjutsu"
16:13:33:9F:0A:35,-37,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-58,"vivo Y75 5G"
42:3B:A0:88:33:21,-59,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-85,"Redmi Note 10S"
00:FC:BA:32:99:40,-63,"PSG"
3A:8A:80:CD:BE:AA,-55,"vedha's  A23"
A6:02:B9:30:81:D5,-74,"Prai"
78:72:5D:DE:99:20,-72,"AMCS"
8A:8F:BA:39:CF:C2,-70,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-78,"Berlin's PC"
00:FC:BA:32:91:40,-80,"PSG"
78:72:5D:F5:5F:10,-87,"AMCS"
0A:3E:91:A2:73:BB,-91,"Bala"


A2:8C:7B:43:54:93,-51,"Genjutsu"
16:13:33:9F:0A:35,-20,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-52,"vivo Y75 5G"
42:3B:A0:88:33:21,-59,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-77,"Redmi Note 10S"
00:FC:BA:32:99:40,-62,"PSG"
3A:8A:80:CD:BE:AA,-44,"vedha's  A23"
A6:02:B9:30:81:D5,-79,"Prai"
78:72:5D:DE:99:20,-72,"AMCS"
8A:8F:BA:39:CF:C2,-66,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-78,"Berlin's PC"
00:FC:BA:32:91:40,-80,"PSG"
78:72:5D:F5:5F:10,-87,"AMCS"
0A:3E:91:A2:73:BB,-91,"Bala"
00:FC:BA:32:77:E0,-88,"PSG"

A2:8C:7B:43:54:93,-46,"Genjutsu"
16:13:33:9F:0A:35,-43,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-57,"vivo Y75 5G"
42:3B:A0:88:33:21,-51,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-77,"Redmi Note 10S"
00:FC:BA:32:99:40,-64,"PSG"
3A:8A:80:CD:BE:AA,-44,"vedha's  A23"
A6:02:B9:30:81:D5,-88,"Prai"
78:72:5D:DE:99:20,-90,"AMCS"
8A:8F:BA:39:CF:C2,-66,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-89,"Berlin's PC"
00:FC:BA:32:91:40,-80,"PSG"
78:72:5D:F5:5F:10,-87,"AMCS"
0A:3E:91:A2:73:BB,-98,"Bala"
00:FC:BA:32:77:E0,-88,"PSG"

A2:8C:7B:43:54:93,-51,"Genjutsu"
16:13:33:9F:0A:35,-53,"DIRECT-WOLAPTOP-SHP2VO03msWY"
A2:05:9A:3F:AF:31,-58,"vivo Y75 5G"
42:3B:A0:88:33:21,-57,"Galaxy M12 0EAC"
72:58:65:96:57:C9,-74,"Redmi Note 10S"
00:FC:BA:32:99:40,-58,"PSG"
3A:8A:80:CD:BE:AA,-45,"vedha's  A23"
A6:02:B9:30:81:D5,-85,"Prai"
78:72:5D:DE:99:20,-90,"AMCS"
8A:8F:BA:39:CF:C2,-66,"\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00"
AE:19:8E:2D:40:42,-82,"Berlin's PC"
00:FC:BA:32:91:40,-80,"PSG"
78:72:5D:F5:5F:10,-87,"AMCS"
0A:3E:91:A2:73:BB,-94,"Bala"
00:FC:BA:32:77:E0,-88,"PSG"

A2:8C:7B:43:54:93,-50,"Genjutsu"
